Status,Replacement Status,Item Name,SKU,REPLACE_WITH,Old,Simple Name,Child Name
Current,,"Ranch Seasoning Mix by Flavor God, Pack of 2- Premium All Natural & Healthy Spice Blend for Chicken, Pizza, Salads & Vegetables - Kosher, Low Sodium, Vegan & Keto Friendly",BND-RNCH-2,,,"Ranch Seasoning, Pack of 2",Ranch Topper
Current,,"The Original Pumpkin Pie Spice Topper Seasoning Mix, 2 Bottles by Flavor God - Premium All Natural & Healthy Spice Blend for Donuts & Smoothies - Great Flavor Spices and Seasoning Gift",BND-PMPI-2,,,"Pumpkin Pie Spice Topper, 2 Bottles",Pumpkin Pie Topper
Current,,"Nacho Cheese Seasoning Mix by Flavor God, Pack of 2 - Premium All Natural & Healthy Spice Blend for Nachos, Dips, Chicken Nuggets & Vegetables - Kosher, Low Sodium, Gluten-Free & Keto Friendly",BND-NCHO-2,,,"Nacho Cheese Seasoning, Pack of 2",Nacho Cheese Seasoning
Current,,"Himalayan Salt & Pink Peppercorn Finisher by Flavor God, Pack of 2 - Premium All Natural & Healthy Spice & Seasoning Blend for Beef & Chicken - Zero Carbs, Great Flavor Spices and Seasoning Gift",BND-HSPP-2,,,"Himalayan Salt & Pink Peppercorn Finisher, Pack of 2",Himalayan Salt & Pink Peppercorn Finisher
Current,,"Honey BBQ Rub Mix, 2 Bottles by Flavor God - Premium All Natural & Healthy Spice Blend for Grilling Chicken, Beef, Chili, Seafood, Vegetables, & Salad - Kosher, Gluten-Free, Dairy-Free Steak Rub",BND-HNBQ-2,,,"Honey BBQ Rub Mix, 2 Bottles",Honey BBQ Rub
Current,,"Habanero Seasoning Mix by Flavor God, 2-Pack - Premium All Natural & Healthy Spice Blend for Burritos, Tacos, Seafood & Chicken - Kosher, Low Sodium, Dairy-Free, Vegan & Keto Friendly",BND-HBNR-2,,,"Habanero Seasoning, 2-Pack",Habanero Seasoning
Current,,"Fiesta Sweet & Tangy Seasoning Mix by Flavor God, Pack of 2 - Premium All Natural & Healthy Spice Blend for Salad, Pasta, Chicken & Seafood - Kosher, Low Sodium, Dairy- Free, Vegan & Keto Friendly",BND-FSTA-2,,,"Fiesta Sweet & Tangy Seasoning,, Pack of 2",Fiesta Sweet & Tangy Topper
OLD,Need,Popcorn Combo Pack (4 Set),POPCORN-PCK-2,,Need,OLD - Popcorn Seasoning Pack,OLD - Spicy Everything Seasoning
OLD,Need,Rubs Combo Pack (4 Set),RUBSCMBO-4,,Need,OLD - Rubs Combo (4 pack),OLD - BBQ Rub
OLD,Need,Super Garlic Bros Combo Pack (2 Set),SPRGRLCBROS,,Need,OLD - Super Garlic Bros.,OLD - Garlic Lover's Seasoning
